14/12/24	Despesa	Embalagem	Produção	Alumi Fran	-R$ 127,46	 R$ 127,46 	 Elma 
16/12/24	Despesa	Frete	Logística	Manda Bem Intermediacoes Ltda	-R$ 158,95	 R$ 158,95 	 Elma 
30/12/24	Receita	Pagamentos	Recebimentos	Ire Agregados Ltda.	R$ 383,90	 R$ 383,90 	 Elma 
13/01/25	Despesa	Estampa	Produção	Roberto Ribeiro De Melo Estamparia	-R$ 5.000,00	 R$ 5.000,00 	 Elma 
14/01/25	Despesa	Estampa	Produção	Roberto Ribeiro De Melo Estamparia	-R$ 705,00	 R$ 705,00 	 Elma 
15/01/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 650,00	 R$ 650,00 	 Elma 
15/01/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 1.620,00	 R$ 1.620,00 	 Elma 
15/01/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 718,40	 R$ 718,40 	 Elma 
16/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 452,84	 R$ 452,84 	 Elma 
16/01/25	Despesa	Contabilidade	Financeiro	Jairo Alves Da Silva Contabilidade	-R$ 50,00	 R$ 50,00 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 81,90	 R$ 81,90 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Ministerio Da Fazenda	-R$ 81,90	 R$ 81,90 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Elma 
27/01/25	Despesa	Contabilidade	Financeiro	Receita Federal	-R$ 81,90	 R$ 81,90 	 Elma 
12/02/25	Despesa	Tecido	Produção	Andrew Guimaraes Silva	-R$ 5.140,00	 R$ 5.140,00 	 Elma 
13/02/25	Despesa	Tecido	Produção	Textil Mn Comercio De Tecidos E Confeccoes Ltda	-R$ 263,43	 R$ 263,43 	 Elma 
21/02/25	Despesa	Costureira	Produção	Elma De Barros Guimaraes Silva	-R$ 723,00	 R$ 723,00 	 Elma 
28/02/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 180,00	 R$ 180,00 	 Elma 
06/03/25	Receita	Pagamentos	Recebimentos	Polimix Concreto Ltda	R$ 1.969,00	 R$ 1.969,00 	 Elma 
14/03/25	Despesa	Bordado	Produção	Amjo Bordados	-R$ 1.164,00	 R$ 1.164,00 	 Elma 
14/03/25	Despesa	Outros	Outros	Shpp Brasil Instituicao De Pag	-R$ 103,54	 R$ 103,54 	 Elma 
18/03/25	Despesa	Tecido	Produção	Textil Mn Comercio De Tecidos E Confeccoes Ltda	-R$ 4.969,00	 R$ 4.969,00 	 Elma 
